Parsed_output, Ground_truth, LTL_type, Num_props, Instruction, Model_output
GF(a & GF(b & GFc)) & GF(b & GF(a & GFc)) & GF(c & GF(a & GFb)) & GF(c & GF(b & GFa)), & F a & F b F c, visit, 3, visit a b and c in any order, GF(a & GF(b & GFc)) & GF(b & GF(a & GFc)) & GF(c & GF(a & GFb)) & GF(c & GF(b & GFa))

F(a & F(b & Fc)), & F a & F b F c, visit, 3, please visit a b and c in any order, F(a & F(b & Fc))

GF(a & GF(b & GFc)) & GF(b & GF(a & GFc)) & GF(c & GF(a & GFb)) & GF(c & GF(b & GFa)), & F a & F b F c, visit, 3, visit a b and c in arbitrary order, GF(a & GF(b & GFc)) & GF(b & GF(a & GFc)) & GF(c & GF(a & GFb)) & GF(c & GF(b & GFa))

GF(a & GF(b & GFc)) & GF(b & GF(a & GFc)) & GF(c & GF(a & GFb)) & GF(c & GF(b & GFa)), & F a & F b F c, visit, 3, visit a b and c in any order, GF(a & GF(b & GFc)) & GF(b & GF(a & GFc)) & GF(c & GF(a & GFb)) & GF(c & GF(b & GFa))

G(Fa & Fc & Fb), & F a & F b F c, visit, 3, when you have the chance can you go to a c and b , G(Fa & Fc & Fb)

GF(a & GF(b & GFc)) & GF(b & GF(a & GFc)) & GF(c & GF(a & GFb)) & GF(c & GF(b & GFa)), & F a & F b F c, visit, 3, walk to a b and c in an arbitrary order, GF(a & GF(b & GFc)) & GF(b & GF(a & GFc)) & GF(c & GF(a & GFb)) & GF(c & GF(b & GFa))

GFa & GFb & GFc & GFd, & F a & F b & F c F d, visit, 4, go to a b c and d in arbitrary order, GFa & GFb & GFc & GFd

GFa & GFb & GFc & GFd, & F a & F b & F c F d, visit, 4, visit a b c and d in no particular order, GFa & GFb & GFc & GFd

GFa & GFb & GFc & GFd, & F a & F b & F c F d, visit, 4, visit a b c and d in any order, GFa & GFb & GFc & GFd

F(a & F(b & F(d & Fc))), & F a & F b & F c F d, visit, 4, go to four locations a b d and c, F(a & F(b & F(d & Fc)))

GFa & GFb & GFc & GFd, & F a & F b & F c F d, visit, 4, in no particular order visit a b c and d, GFa & GFb & GFc & GFd

GFa & GFb & GFc & GFd, & F a & F b & F c F d, visit, 4, visit a b c and d in any order, GFa & GFb & GFc & GFd

GFa & GFb & GFc & GFd, & F a & F b & F c F d, visit, 4, visit a b c and d the order is not important, GFa & GFb & GFc & GFd

GF(a & G(b | c | d)) & GF(b & G(a | c | d)) & GF(c & G(a | b | d)) & GF(d & G(a | b | c)), & F a & F b & F c F d, visit, 4, go to b d a and c in any order, GF(a & G(b | c | d)) & GF(b & G(a | c | d)) & GF(c & G(a | b | d)) & GF(d & G(a | b | c))

G(a & b & c & d), & F a & F b & F c F d, visit, 4, do not stop until a b c and d are all visited, G(a & b & c & d)

Fa & F(b & Fc) & Fd, & F a & F b & F c F d, visit, 4, visit a go to b reach c reach d, Fa & F(b & Fc) & Fd

F(a & F(b & F(c & F(d & Fh)))), & F a & F b & F c & F d F h, visit, 5, go to a go to b go to c go to d go to h, F(a & F(b & F(c & F(d & Fh))))

F(a & F(d & F(c & F(h & Fb)))), & F a & F b & F c & F d F h, visit, 5, go to a d c h and b at least once, F(a & F(d & F(c & F(h & Fb))))

F(a & F(c & F(b & F(h & Fd)))), & F a & F b & F c & F d F h, visit, 5, sometime visit a c b h and d, F(a & F(c & F(b & F(h & Fd))))

GFa & GFb & GFc & GFd & GFh, & F a & F b & F c & F d F h, visit, 5, reach a b c d and h in any order, GFa & GFb & GFc & GFd & GFh

GFa & GFb & GFc & GFd & GFh, & F a & F b & F c & F d F h, visit, 5, go to h c b d and a in any order, GFa & GFb & GFc & GFd & GFh

GFa & GFb & GFc & GFd & GFh, & F a & F b & F c & F d F h, visit, 5, visit c a d h and b in no particular order, GFa & GFb & GFc & GFd & GFh

GFa & GFb & GFc & GFd & GFh, & F a & F b & F c & F d F h, visit, 5, visit a b c d h in any order required, GFa & GFb & GFc & GFd & GFh

F(a & F(b & F(c & F(d & Fh)))), & F a & F b & F c & F d F h, visit, 5, go to b a h c and d , F(a & F(b & F(c & F(d & Fh))))

G(Fa & Fb & Fc & Fd & Fh), & F a & F b & F c & F d F h, visit, 5, do not stop until a b c d and h are all visited, G(Fa & Fb & Fc & Fd & Fh)

GFa & GFb & GFc & GFd & GFh, & F a & F b & F c & F d F h, visit, 5, in no particular order visit a b c d h, GFa & GFb & GFc & GFd & GFh

GFa & GFb & GFc & GFd & GFh, & F a & F b & F c & F d F h, visit, 5, visit a b c d and h in any order, GFa & GFb & GFc & GFd & GFh

GF(a & b & c & d & h), & F a & F b & F c & F d F h, visit, 5, go to a b c d and h in arbitrary order, GF(a & b & c & d & h)

GFa & GFb & GFc & GFd & GFh, & F a & F b & F c & F d F h, visit, 5, visit a b c d and h in no specific order, GFa & GFb & GFc & GFd & GFh

GFa & GFb & GFc & GFd & GFh, & F a & F b & F c & F d F h, visit, 5, make sure you go to a b c d h in any order, GFa & GFb & GFc & GFd & GFh

Fa & Fb, F & a F b, sequenced_visit, 2, go to a and sometime afterward visit b, Fa & Fb

F(a & F(b & F(a & Fb & Fc))), F & a F & b F c, sequenced_visit, 3, go to a and go to b after a is visited and go to c after a and b are visited, F(a & F(b & F(a & Fb & Fc)))

(!b U a) & (!c U b) & Fc, F & a F & b F c, sequenced_visit, 3, go to c after b go to b after going to a, (!b U a) & (!c U b) & Fc

Fa & Fb & Fc, F & a F & b F c, sequenced_visit, 3, visit a sometime afterwards visit b sometime afterwards visit c, Fa & Fb & Fc

F(a & F(b & F(c & Fd))) & (!b U a) & (!c U b) & (!d U c), F & a F & b F & c F d, sequenced_visit, 4, travel from a to b to c to d and make sure to go to b after a c after b and d after c, F(a & F(b & F(c & Fd))) & (!b U a) & (!c U b) & (!d U c)

F(a & F(b & F(c & Fd))) & G(!(a | b | c | d)), F & a F & b F & c F d, sequenced_visit, 4, visit a b c and d in this order there can be other locations in between, F(a & F(b & F(c & Fd))) & G(!(a | b | c | d))

Fa & Fb & Fc & Fd, F & a F & b F & c F d, sequenced_visit, 4, visit a then visit b then visit c then visit d , Fa & Fb & Fc & Fd

Fa -> Fb & (Fa & Fb) -> Fc & (Fa & Fb & Fc) -> Fd, F & a F & b F & c F d, sequenced_visit, 4, visit b at least once after visiting a visit c at least once after visiting a and b visit d at least once after visiting a b and c, Fa -> Fb & (Fa & Fb) -> Fc & (Fa & Fb & Fc) -> Fd

F(b & F(c & F(d & Fh))) & F(a & F(b & Fc) & F(d & Fh)), F & a F & b F & c F & d F h, sequenced_visit, 5, visit b at least once after visiting a visit c at least once after visiting both a and b visit d at least once after visiting a b and c and visit h at least once after visiting a b c and d, F(b & F(c & F(d & Fh))) & F(a & F(b & Fc) & F(d & Fh))

Fa & F(b & F(c & F(d & Fh))), F & a F & b F & c F & d F h, sequenced_visit, 5, visit a followed by b then c then d and then h, Fa & F(b & F(c & F(d & Fh)))

(a & Fb & Fc & Fd & Fh), F & a F & b F & c F & d F h, sequenced_visit, 5, visit a b c d and h sequentially, (a & Fb & Fc & Fd & Fh)

Fa & Fb & Fc & Fd & Fh, F & a F & b F & c F & d F h, sequenced_visit, 5, visit a then b then c then d and then h, Fa & Fb & Fc & Fd & Fh

Fa & Fb & Fc & Fd & Fh, F & a F & b F & c F & d F h, sequenced_visit, 5, visit a then visit b then visit c then visit d and then visit h, Fa & Fb & Fc & Fd & Fh

F(a & F(b & F(c & F(d & Fh)))) & G((!a & !b & !c & !d) -> X(!a & !b & !c & !d & !h)), F & a F & b F & c F & d F h, sequenced_visit, 5, visit a b c d and h in this order there can be other landmarks in between, F(a & F(b & F(c & F(d & Fh)))) & G((!a & !b & !c & !d) -> X(!a & !b & !c & !d & !h))

F(a & F(b & F(c & F(d & Fh)))) & G(!(a | b | c | d | h)), F & a F & b F & c F & d F h, sequenced_visit, 5, visit a b c d and h in this order there can be other locations in between, F(a & F(b & F(c & F(d & Fh)))) & G(!(a | b | c | d | h))

Fa & Fb & Fc & Fd & Fh, F & a F & b F & c F & d F h, sequenced_visit, 5, visit a then visit b then visit c then visit d finally visit h, Fa & Fb & Fc & Fd & Fh

Fa & Fb & Fc & Fd & Fh, F & a F & b F & c F & d F h, sequenced_visit, 5, visit a then b then c then d and finally h, Fa & Fb & Fc & Fd & Fh

F(a & F(b & Fc)), & U ! b a & U ! c b F c, ordered_visit, 3, go to b after you have visited a and go to c after you have visited b, F(a & F(b & Fc))

F(a & F(b & Fc)) & G(!b U a) & G(!c U b), & U ! b a & U ! c b F c, ordered_visit, 3, go to a only then go to b and only then go to c, F(a & F(b & Fc)) & G(!b U a) & G(!c U b)

F(a & F(b & Fc)), & U ! b a & U ! c b F c, ordered_visit, 3, first go to a then go to b only after a finally go to c only after b, F(a & F(b & Fc))

F(a & F(b & Fc)), & U ! b a & U ! c b F c, ordered_visit, 3, reach c but not until you visit a and b and that specific order, F(a & F(b & Fc))

(a & (!b U a)) & (b & (!c U b)), & U ! b a & U ! c b F c, ordered_visit, 3, visit a b and c in order but keep avoiding latter ones when you are heading to former ones, (a & (!b U a)) & (b & (!c U b))

(!b U a) & (!c U b), & U ! b a & U ! c b F c, ordered_visit, 3, do not visit c until visiting b do not visit b until visiting a, (!b U a) & (!c U b)

(a & !b & !c) U (b & !c) U c, & U ! b a & U ! c b F c, ordered_visit, 3, go to a but not through b or c and then go to b but not through c and finally go to c, (a & !b & !c) U (b & !c) U c

Fa & F(a & Fb) & F(a & F(b & Fc)), & U ! b a & U ! c b F c, ordered_visit, 3, in strictly this order visit a then eventually visit b and finally eventually c, Fa & F(a & Fb) & F(a & F(b & Fc))

F(a & F(b & !a) & F(c & !b)), & U ! b a & U ! c b F c, ordered_visit, 3, visit a b and c where b does not proceed a and c does not proceed b, F(a & F(b & !a) & F(c & !b))

(!b U a) & Fb & (!c U (b U Fc)), & U ! b a & U ! c b F c, ordered_visit, 3, direct yourself to a but keep away from b and c then go to b but bypass c and eventually make your way to c, (!b U a) & Fb & (!c U (b U Fc))

F(a & F(b & Fc)) & G(!b U a) & G(!c U b), & U ! b a & U ! c b F c, ordered_visit, 3, visit a only then should you visit b and only after that should you reach c, F(a & F(b & Fc)) & G(!b U a) & G(!c U b)

(!b U a) & Fb, & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, move to a exactly once while avoiding b then find b, (!b U a) & Fb

(a U (!b W b)), & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, go to a without visiting b then go to b without going to a again, (a U (!b W b))

(!b U a) & Fb, & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, navigate to a exactly once while staying away from b then you can go to b, (!b U a) & Fb

F(a & Fb & (!a U (!b U (a & Fb))))), & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, reach a and then b in that exact order without repetitions, F(a & Fb & (!a U (!b U (a & Fb)))))

(!b U a) & Fb, & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, go to a exactly once while avoiding b then go to b, (!b U a) & Fb

F(a & F(b & G(!a))), & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, visit a and only then reach b you can only visit a once, F(a & F(b & G(!a)))

(Fa & (!b U a) & Fb), & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, only visit a once then visit b only after visiting a, (Fa & (!b U a) & Fb)

(!b U a) & Fb, & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, reach a exactly once while staying away from b then move to b, (!b U a) & Fb

(!b U a) & (Fb | (!b & !Fb)), & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, you must visit a exactly once while avoiding b then you can navigate to b, (!b U a) & (Fb | (!b & !Fb))

F(a & (!b U a) & Fb), & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, visit a and visit only once then eventually visit b do not visit b before visiting a, F(a & (!b U a) & Fb)

(!b U a) & (a -> (!a U b)), & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, only visit a once and do not visit b until you visit a , (!b U a) & (a -> (!a U b))

F(a & F(b & (!a U b))), & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, go to a only then go to b but ensure to not revisit a, F(a & F(b & (!a U b)))

(!b U a) & (a U (!a U b)), & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, you must go to a while avoiding b and then go to b only go to a one time before visiting b, (!b U a) & (a U (!a U b))

((!b U a) & (!a U (!a U b))) | (a & (!b U a)), & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, avoid b initially when a is not visited and then just visit a once and then visit b while avoiding a, ((!b U a) & (!a U (!a U b))) | (a & (!b U a))

F(a & F(b & (!a U b))), & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, go to a and only then go to b without returning to a, F(a & F(b & (!a U b)))

(!b U a) & Fb, & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, visit a first then visit b while only visiting each location once, (!b U a) & Fb

(!b U a) & Fb, & & U ! b a F b U ! a U a U ! a b, strictly_ordered_visit, 2, visit a only once then visit b but do not visit b before visiting a, (!b U a) & Fb

(Fa & F(!c U b)) & Fc, & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, first go to a once then go to b once while avoiding c finally go to c, (Fa & F(!c U b)) & Fc

(!b U a) & (!c U b) & Fc, & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, visit a once while staying away from b then visit b once while staying away from c finally visit c, (!b U a) & (!c U b) & Fc

(!b U a) & (!c U b) & Fb & (!c U (b U c)), & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, go to a exactly once then go to b exactly once finally go to c do not go to b or c before a do not go to c before b, (!b U a) & (!c U b) & Fb & (!c U (b U c))

(!b U a) & (!c U a) & (!c U b) & Fb & (!c U b) & Fc, & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, visit a exactly once avoid b or c before a then reach b exactly once  avoid c before b finally move to c, (!b U a) & (!c U a) & (!c U b) & Fb & (!c U b) & Fc

F(a & F(b & Fc)) & (!b U a) & (!c U b), & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, only visit a once followed by visiting b then visiting c once, F(a & F(b & Fc)) & (!b U a) & (!c U b)

(a & !b & !c) U (b & !c) U c, & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, go to a but not through b or c and then go to b but not through c and finally go to c no revisiting is allowed , (a & !b & !c) U (b & !c) U c

(Fa & !Fb & !Fc) & (Fb & !Fc & ((!Fa) U Fb)) & (Fc & ((!Fa) U (!Fb & Fc))), & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, go to a but do not visit b or c and then go to b but do not visit c or revisit a and then go to c but do not revisit a or b, (Fa & !Fb & !Fc) & (Fb & !Fc & ((!Fa) U Fb)) & (Fc & ((!Fa) U (!Fb & Fc)))

F(a & F(b & (!a U c))), & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, reach a first only then reach b and do not visit a again only then reach c and do not visit b again, F(a & F(b & (!a U c)))

(!b U a) & (!c U b), & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once, (!b U a) & (!c U b)

(!b U a) & (!c U b) & Fb & (!a U (a U (!a U b))) & (!b U (b U c)), & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, visit b but before visiting b you must visit a only after that visit c visit each location once, (!b U a) & (!c U b) & Fb & (!a U (a U (!a U b))) & (!b U (b U c))

(!b U a) & (!c U b) & Fc & (!a U (a U (!a U b))) & (!b U (b U c)), & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, visit a exactly once do not visit b or c before a then visit b exactly once  do not visit c before b finally visit c, (!b U a) & (!c U b) & Fc & (!a U (a U (!a U b))) & (!b U (b U c))

(!b U a) & (!c U a) & (!c U b) & Fc, & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, visit a exactly once while avoiding b and c then visit b exactly once while avoiding c finally visit c, (!b U a) & (!c U a) & (!c U b) & Fc

F(a & F(b & Fc)) & (!b U a) & (!c U b), & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, go to a first go to b second and do not visit a again go to c third and do not visit b again , F(a & F(b & Fc)) & (!b U a) & (!c U b)

(!b U a) & (!c U a) & (!c U b) & Fc, & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, visit a exactly once while avoiding b and c then visit b exactly once while avoiding c finally visit c, (!b U a) & (!c U a) & (!c U b) & Fc

(!b U a) & (!c U a) & (!c U b) & Fc, & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, go to a exactly once while avoiding b and c then go to b exactly once while avoiding c finally go to c, (!b U a) & (!c U a) & (!c U b) & Fc

(!b U a) & (!c U b) & Fc & Fb & Fa, & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, visit a b and c once do not visit b without visiting a and do not visit c without visiting b, (!b U a) & (!c U b) & Fc & Fb & Fa

F(a & F(b & F(c & ((!b & !a) U c)))), & & U ! b a & U ! c b F c & U ! a U a U ! a b U ! b U b U ! b c, strictly_ordered_visit, 3, go to a only then go to b only then go to c while visiting a and b only once, F(a & F(b & F(c & ((!b & !a) U c))))

(Fa & (!b U a)) & (Fb & (!c U b)) & (Fc & (!d U c)) & Fd, & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, first go to a once without visiting b then go to b once without visiting c then go to c once without visiting d finally go to d, (Fa & (!b U a)) & (Fb & (!c U b)) & (Fc & (!d U c)) & Fd

(F(a & F(b & (!c U b))) & F(c & (!d U c)) & Fd), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, first go to a once then go to b once while avoiding c then go to c once while avoiding d finally go to d, (F(a & F(b & (!c U b))) & F(c & (!d U c)) & Fd)

(!b U a) & (!c U b) & (!d U c) & Fd, & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, visit b but before visiting b you must visit a only after that visit c after visiting c visit d visit each location once, (!b U a) & (!c U b) & (!d U c) & Fd

F(a & F(b & F(c & Fd))) & G(!(b & c & d) U (a & !b & !c & !d)), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, visit a then b then c then d follow this strict order and visit each location only once, F(a & F(b & F(c & Fd))) & G(!(b & c & d) U (a & !b & !c & !d))

F(a & F(b & F(c & Fd))) & G(!(b | c | d) U (b | c | d)), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, head to a b c and d in this order without skipping or revisiting any one of them, F(a & F(b & F(c & Fd))) & G(!(b | c | d) U (b | c | d))

(!b U a) & (!c U b) & (!d U c) & (!a U (a U (!a U b))) & (!b U (b U (!b U c))) & (!c U (c U (!c U d))) & G(!a & !b & !c) & Fd, & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, go to a but not through b c or d and then go to b but not through c or d and then go to c but not through d and finally go to d no revisiting is allowed , (!b U a) & (!c U b) & (!d U c) & (!a U (a U (!a U b))) & (!b U (b U (!b U c))) & (!c U (c U (!c U d))) & G(!a & !b & !c) & Fd

(!b U a) & (!c U b) & (!d U b) & (!a U (a U (!a U b))) & (!c U (c U (!c U d))) & (!d U (d U (!d U (!a & !b & !c)))), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, go to a but do not visit b c or d and then go to b but do not visit c or d or revisit a and then go to c but do not visit d or revisit a or b and then go to d but do not revisit a b or c, (!b U a) & (!c U b) & (!d U b) & (!a U (a U (!a U b))) & (!c U (c U (!c U d))) & (!d U (d U (!d U (!a & !b & !c))))

(a & !b & !c & !d) U (b & !c & !d) U (c & !d) U d, & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, please go to a then b then c then d in that specific order without revisiting previously visited location, (a & !b & !c & !d) U (b & !c & !d) U (c & !d) U d

(!b U a) & (!c U b) & (!d U c) & (!d U (c U (!c U d))) & (!c U (b U (!b U c))) & (!b U (a U (!a U b))), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, do not visit d until you visit c visit c only once do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once, (!b U a) & (!c U b) & (!d U c) & (!d U (c U (!c U d))) & (!c U (b U (!b U c))) & (!b U (a U (!a U b)))

(!b U a) & (!c U a) & (!d U a) & Fb & (!a U b) & (!c U b) & (!d U b) & Fc & (!a U c) & (!b U c) & (!d U c) & Fd & (!a U d) & (!b U d) & (!c U d), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, go to a only once but keep away from b c and d and then go to b only once but keep away from a c and d and then go to c only once but keep way from a b and d and finally go to d once but keep away from a b and c, (!b U a) & (!c U a) & (!d U a) & Fb & (!a U b) & (!c U b) & (!d U b) & Fc & (!a U c) & (!b U c) & (!d U c) & Fd & (!a U d) & (!b U d) & (!c U d)

F(a & F(b & F(c & Fd))) & G(!(a & b & c & d)), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, visit each of a b c and d exactly once in this order, F(a & F(b & F(c & Fd))) & G(!(a & b & c & d))

F(a & F(b & F(c & Fd))) & G(!(a & b & c & d)), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, visit a then b then c and then d you can only visit each landmark once, F(a & F(b & F(c & Fd))) & G(!(a & b & c & d))

(a U (b U (c U (d U ((!a & !b & !c & !d) U (a U (b U (c U d)))))))), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, visit a then b then c and then d in that strict order without returning to previously visited locations, (a U (b U (c U (d U ((!a & !b & !c & !d) U (a U (b U (c U d))))))))

(!b U a) & Fb & (!c U (c & Fd)), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, visit a only once while avoiding b then visit b once while avoiding c only after visiting c once visit d, (!b U a) & Fb & (!c U (c & Fd))

(a & !b & !c & !d) U (b & a & !c & !d) U (c & a & b & !d) U (d & c & b & a), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, visit a b c d once do not visit b without visiting a and do not visit b without visiting c do not visit d without visiting c, (a & !b & !c & !d) U (b & a & !c & !d) U (c & a & b & !d) U (d & c & b & a)

(!b U a) & (!c U a) & (!d U a) & (!a U (a U (!a U b))) & (!c U b) & (!d U b) & (!b U (b U (!b U c))) & (!d U c) & (!c U (c U (!c U d))) & (!b U d) & (!c U d) & (!d U (!a & !b & !c & !d)), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, stay away from b c and d until you make a single visit to a and then make your way to b while staying away from a c and d and then make your way to c while staying away from a b or d and finally make your way to d while staying away from a b and c, (!b U a) & (!c U a) & (!d U a) & (!a U (a U (!a U b))) & (!c U b) & (!d U b) & (!b U (b U (!b U c))) & (!d U c) & (!c U (c U (!c U d))) & (!b U d) & (!c U d) & (!d U (!a & !b & !c & !d))

F(a & F(b & F(c & Fd))) & G(!(b & F(a))) & G(!(c & F(b))) & G(!(d & F(c))), & & U ! b a & U ! c b & U ! d c F d & U ! a U a U ! a b & U ! b U b U ! b c U ! c U c U ! c d, strictly_ordered_visit, 4, visit a b c and d in this order without skipping any one of them do not revisit any one of them once after you have been there , F(a & F(b & F(c & Fd))) & G(!(b & F(a))) & G(!(c & F(b))) & G(!(d & F(c)))

