instruction,ltl,pattern_type,props
eventually reach c and b,& F c F b,visit,"['c', 'b']"
eventually reach c and d,& F c F d,visit,"['c', 'd']"
eventually reach c and h,& F c F h,visit,"['c', 'h']"
eventually reach d and a,& F d F a,visit,"['d', 'a']"
eventually reach d and b,& F d F b,visit,"['d', 'b']"
eventually reach d and c,& F d F c,visit,"['d', 'c']"
eventually reach d and h,& F d F h,visit,"['d', 'h']"
eventually reach h and a,& F h F a,visit,"['h', 'a']"
eventually reach h and b,& F h F b,visit,"['h', 'b']"
eventually reach h and c,& F h F c,visit,"['h', 'c']"
eventually reach h and d,& F h F d,visit,"['h', 'd']"
go to a b and c,& F a & F b F c,visit,"['a', 'b', 'c']"
go to a b and d,& F a & F b F d,visit,"['a', 'b', 'd']"
go to a b and h,& F a & F b F h,visit,"['a', 'b', 'h']"
go to a c and b,& F a & F c F b,visit,"['a', 'c', 'b']"
go to a c and d,& F a & F c F d,visit,"['a', 'c', 'd']"
go to a c and h,& F a & F c F h,visit,"['a', 'c', 'h']"
go to a d and b,& F a & F d F b,visit,"['a', 'd', 'b']"
go to a d and c,& F a & F d F c,visit,"['a', 'd', 'c']"
go to a d and h,& F a & F d F h,visit,"['a', 'd', 'h']"
go to a h and b,& F a & F h F b,visit,"['a', 'h', 'b']"
go to a h and c,& F a & F h F c,visit,"['a', 'h', 'c']"
go to a h and d,& F a & F h F d,visit,"['a', 'h', 'd']"
go to b a and c,& F b & F a F c,visit,"['b', 'a', 'c']"
go to b a and d,& F b & F a F d,visit,"['b', 'a', 'd']"
go to b a and h,& F b & F a F h,visit,"['b', 'a', 'h']"
go to b c and a,& F b & F c F a,visit,"['b', 'c', 'a']"
go to b c and d,& F b & F c F d,visit,"['b', 'c', 'd']"
go to b c and h,& F b & F c F h,visit,"['b', 'c', 'h']"
go to b d and a,& F b & F d F a,visit,"['b', 'd', 'a']"
go to b d and c,& F b & F d F c,visit,"['b', 'd', 'c']"
go to b d and h,& F b & F d F h,visit,"['b', 'd', 'h']"
go to b h and a,& F b & F h F a,visit,"['b', 'h', 'a']"
go to b h and c,& F b & F h F c,visit,"['b', 'h', 'c']"
go to b h and d,& F b & F h F d,visit,"['b', 'h', 'd']"
go to c a and b,& F c & F a F b,visit,"['c', 'a', 'b']"
go to c a and d,& F c & F a F d,visit,"['c', 'a', 'd']"
go to c a and h,& F c & F a F h,visit,"['c', 'a', 'h']"
go to c b and a,& F c & F b F a,visit,"['c', 'b', 'a']"
go to c b and d,& F c & F b F d,visit,"['c', 'b', 'd']"
go to c b and h,& F c & F b F h,visit,"['c', 'b', 'h']"
go to c d and a,& F c & F d F a,visit,"['c', 'd', 'a']"
go to c d and b,& F c & F d F b,visit,"['c', 'd', 'b']"
go to c d and h,& F c & F d F h,visit,"['c', 'd', 'h']"
go to c h and a,& F c & F h F a,visit,"['c', 'h', 'a']"
go to c h and b,& F c & F h F b,visit,"['c', 'h', 'b']"
go to c h and d,& F c & F h F d,visit,"['c', 'h', 'd']"
go to d a and b,& F d & F a F b,visit,"['d', 'a', 'b']"
go to d a and c,& F d & F a F c,visit,"['d', 'a', 'c']"
go to d a and h,& F d & F a F h,visit,"['d', 'a', 'h']"
go to d b and a,& F d & F b F a,visit,"['d', 'b', 'a']"
go to d b and c,& F d & F b F c,visit,"['d', 'b', 'c']"
go to d b and h,& F d & F b F h,visit,"['d', 'b', 'h']"
go to d c and a,& F d & F c F a,visit,"['d', 'c', 'a']"
go to d c and b,& F d & F c F b,visit,"['d', 'c', 'b']"
go to d c and h,& F d & F c F h,visit,"['d', 'c', 'h']"
go to d h and a,& F d & F h F a,visit,"['d', 'h', 'a']"
go to d h and b,& F d & F h F b,visit,"['d', 'h', 'b']"
go to d h and c,& F d & F h F c,visit,"['d', 'h', 'c']"
go to h a and b,& F h & F a F b,visit,"['h', 'a', 'b']"
go to h a and c,& F h & F a F c,visit,"['h', 'a', 'c']"
go to h a and d,& F h & F a F d,visit,"['h', 'a', 'd']"
go to h b and a,& F h & F b F a,visit,"['h', 'b', 'a']"
go to h b and c,& F h & F b F c,visit,"['h', 'b', 'c']"
go to h b and d,& F h & F b F d,visit,"['h', 'b', 'd']"
go to h c and a,& F h & F c F a,visit,"['h', 'c', 'a']"
go to h c and b,& F h & F c F b,visit,"['h', 'c', 'b']"
go to h c and d,& F h & F c F d,visit,"['h', 'c', 'd']"
go to h d and a,& F h & F d F a,visit,"['h', 'd', 'a']"
go to h d and b,& F h & F d F b,visit,"['h', 'd', 'b']"
go to h d and c,& F h & F d F c,visit,"['h', 'd', 'c']"
visit c a and b in no specific order,& F a & F b F c,visit,"['a', 'b', 'c']"
visit d a and b in no specific order,& F a & F b F d,visit,"['a', 'b', 'd']"
visit h a and b in no specific order,& F a & F b F h,visit,"['a', 'b', 'h']"
visit b a and c in no specific order,& F a & F c F b,visit,"['a', 'c', 'b']"
visit d a and c in no specific order,& F a & F c F d,visit,"['a', 'c', 'd']"
visit h a and c in no specific order,& F a & F c F h,visit,"['a', 'c', 'h']"
visit b a and d in no specific order,& F a & F d F b,visit,"['a', 'd', 'b']"
visit c a and d in no specific order,& F a & F d F c,visit,"['a', 'd', 'c']"
visit h a and d in no specific order,& F a & F d F h,visit,"['a', 'd', 'h']"
visit b a and h in no specific order,& F a & F h F b,visit,"['a', 'h', 'b']"
visit c a and h in no specific order,& F a & F h F c,visit,"['a', 'h', 'c']"
visit d a and h in no specific order,& F a & F h F d,visit,"['a', 'h', 'd']"
visit c b and a in no specific order,& F b & F a F c,visit,"['b', 'a', 'c']"
visit d b and a in no specific order,& F b & F a F d,visit,"['b', 'a', 'd']"
visit h b and a in no specific order,& F b & F a F h,visit,"['b', 'a', 'h']"
visit a b and c in no specific order,& F b & F c F a,visit,"['b', 'c', 'a']"
visit d b and c in no specific order,& F b & F c F d,visit,"['b', 'c', 'd']"
visit h b and c in no specific order,& F b & F c F h,visit,"['b', 'c', 'h']"
visit a b and d in no specific order,& F b & F d F a,visit,"['b', 'd', 'a']"
visit c b and d in no specific order,& F b & F d F c,visit,"['b', 'd', 'c']"
visit h b and d in no specific order,& F b & F d F h,visit,"['b', 'd', 'h']"
visit a b and h in no specific order,& F b & F h F a,visit,"['b', 'h', 'a']"
visit c b and h in no specific order,& F b & F h F c,visit,"['b', 'h', 'c']"
visit d b and h in no specific order,& F b & F h F d,visit,"['b', 'h', 'd']"
visit b c and a in no specific order,& F c & F a F b,visit,"['c', 'a', 'b']"
visit d c and a in no specific order,& F c & F a F d,visit,"['c', 'a', 'd']"
visit h c and a in no specific order,& F c & F a F h,visit,"['c', 'a', 'h']"
visit a c and b in no specific order,& F c & F b F a,visit,"['c', 'b', 'a']"
visit d c and b in no specific order,& F c & F b F d,visit,"['c', 'b', 'd']"
visit h c and b in no specific order,& F c & F b F h,visit,"['c', 'b', 'h']"
visit a c and d in no specific order,& F c & F d F a,visit,"['c', 'd', 'a']"
visit b c and d in no specific order,& F c & F d F b,visit,"['c', 'd', 'b']"
visit h c and d in no specific order,& F c & F d F h,visit,"['c', 'd', 'h']"
visit a c and h in no specific order,& F c & F h F a,visit,"['c', 'h', 'a']"
visit b c and h in no specific order,& F c & F h F b,visit,"['c', 'h', 'b']"
visit d c and h in no specific order,& F c & F h F d,visit,"['c', 'h', 'd']"
visit b d and a in no specific order,& F d & F a F b,visit,"['d', 'a', 'b']"
visit c d and a in no specific order,& F d & F a F c,visit,"['d', 'a', 'c']"
visit h d and a in no specific order,& F d & F a F h,visit,"['d', 'a', 'h']"
visit a d and b in no specific order,& F d & F b F a,visit,"['d', 'b', 'a']"
visit c d and b in no specific order,& F d & F b F c,visit,"['d', 'b', 'c']"
visit h d and b in no specific order,& F d & F b F h,visit,"['d', 'b', 'h']"
visit a d and c in no specific order,& F d & F c F a,visit,"['d', 'c', 'a']"
visit b d and c in no specific order,& F d & F c F b,visit,"['d', 'c', 'b']"
visit h d and c in no specific order,& F d & F c F h,visit,"['d', 'c', 'h']"
visit a d and h in no specific order,& F d & F h F a,visit,"['d', 'h', 'a']"
visit b d and h in no specific order,& F d & F h F b,visit,"['d', 'h', 'b']"
visit c d and h in no specific order,& F d & F h F c,visit,"['d', 'h', 'c']"
visit b h and a in no specific order,& F h & F a F b,visit,"['h', 'a', 'b']"
visit c h and a in no specific order,& F h & F a F c,visit,"['h', 'a', 'c']"
visit d h and a in no specific order,& F h & F a F d,visit,"['h', 'a', 'd']"
visit a h and b in no specific order,& F h & F b F a,visit,"['h', 'b', 'a']"
visit c h and b in no specific order,& F h & F b F c,visit,"['h', 'b', 'c']"
visit d h and b in no specific order,& F h & F b F d,visit,"['h', 'b', 'd']"
visit a h and c in no specific order,& F h & F c F a,visit,"['h', 'c', 'a']"
visit b h and c in no specific order,& F h & F c F b,visit,"['h', 'c', 'b']"
visit d h and c in no specific order,& F h & F c F d,visit,"['h', 'c', 'd']"
visit a h and d in no specific order,& F h & F d F a,visit,"['h', 'd', 'a']"
visit b h and d in no specific order,& F h & F d F b,visit,"['h', 'd', 'b']"
visit c h and d in no specific order,& F h & F d F c,visit,"['h', 'd', 'c']"
eventually reach a c and b,& F a & F b F c,visit,"['a', 'b', 'c']"
eventually reach a d and b,& F a & F b F d,visit,"['a', 'b', 'd']"
eventually reach a h and b,& F a & F b F h,visit,"['a', 'b', 'h']"
eventually reach a b and c,& F a & F c F b,visit,"['a', 'c', 'b']"
eventually reach a d and c,& F a & F c F d,visit,"['a', 'c', 'd']"
eventually reach a h and c,& F a & F c F h,visit,"['a', 'c', 'h']"
eventually reach a b and d,& F a & F d F b,visit,"['a', 'd', 'b']"
eventually reach a c and d,& F a & F d F c,visit,"['a', 'd', 'c']"
eventually reach a h and d,& F a & F d F h,visit,"['a', 'd', 'h']"
eventually reach a b and h,& F a & F h F b,visit,"['a', 'h', 'b']"
eventually reach a c and h,& F a & F h F c,visit,"['a', 'h', 'c']"
eventually reach a d and h,& F a & F h F d,visit,"['a', 'h', 'd']"
eventually reach b c and a,& F b & F a F c,visit,"['b', 'a', 'c']"
eventually reach b d and a,& F b & F a F d,visit,"['b', 'a', 'd']"
eventually reach b h and a,& F b & F a F h,visit,"['b', 'a', 'h']"
eventually reach b a and c,& F b & F c F a,visit,"['b', 'c', 'a']"
eventually reach b d and c,& F b & F c F d,visit,"['b', 'c', 'd']"
eventually reach b h and c,& F b & F c F h,visit,"['b', 'c', 'h']"
eventually reach b a and d,& F b & F d F a,visit,"['b', 'd', 'a']"
eventually reach b c and d,& F b & F d F c,visit,"['b', 'd', 'c']"
eventually reach b h and d,& F b & F d F h,visit,"['b', 'd', 'h']"
eventually reach b a and h,& F b & F h F a,visit,"['b', 'h', 'a']"
eventually reach b c and h,& F b & F h F c,visit,"['b', 'h', 'c']"
eventually reach b d and h,& F b & F h F d,visit,"['b', 'h', 'd']"
eventually reach c b and a,& F c & F a F b,visit,"['c', 'a', 'b']"
eventually reach c d and a,& F c & F a F d,visit,"['c', 'a', 'd']"
eventually reach c h and a,& F c & F a F h,visit,"['c', 'a', 'h']"
eventually reach c a and b,& F c & F b F a,visit,"['c', 'b', 'a']"
eventually reach c d and b,& F c & F b F d,visit,"['c', 'b', 'd']"
eventually reach c h and b,& F c & F b F h,visit,"['c', 'b', 'h']"
eventually reach c a and d,& F c & F d F a,visit,"['c', 'd', 'a']"
eventually reach c b and d,& F c & F d F b,visit,"['c', 'd', 'b']"
eventually reach c h and d,& F c & F d F h,visit,"['c', 'd', 'h']"
eventually reach c a and h,& F c & F h F a,visit,"['c', 'h', 'a']"
eventually reach c b and h,& F c & F h F b,visit,"['c', 'h', 'b']"
eventually reach c d and h,& F c & F h F d,visit,"['c', 'h', 'd']"
eventually reach d b and a,& F d & F a F b,visit,"['d', 'a', 'b']"
eventually reach d c and a,& F d & F a F c,visit,"['d', 'a', 'c']"
eventually reach d h and a,& F d & F a F h,visit,"['d', 'a', 'h']"
eventually reach d a and b,& F d & F b F a,visit,"['d', 'b', 'a']"
eventually reach d c and b,& F d & F b F c,visit,"['d', 'b', 'c']"
eventually reach d h and b,& F d & F b F h,visit,"['d', 'b', 'h']"
eventually reach d a and c,& F d & F c F a,visit,"['d', 'c', 'a']"
eventually reach d b and c,& F d & F c F b,visit,"['d', 'c', 'b']"
eventually reach d h and c,& F d & F c F h,visit,"['d', 'c', 'h']"
eventually reach d a and h,& F d & F h F a,visit,"['d', 'h', 'a']"
eventually reach d b and h,& F d & F h F b,visit,"['d', 'h', 'b']"
eventually reach d c and h,& F d & F h F c,visit,"['d', 'h', 'c']"
eventually reach h b and a,& F h & F a F b,visit,"['h', 'a', 'b']"
eventually reach h c and a,& F h & F a F c,visit,"['h', 'a', 'c']"
eventually reach h d and a,& F h & F a F d,visit,"['h', 'a', 'd']"
eventually reach h a and b,& F h & F b F a,visit,"['h', 'b', 'a']"
eventually reach h c and b,& F h & F b F c,visit,"['h', 'b', 'c']"
eventually reach h d and b,& F h & F b F d,visit,"['h', 'b', 'd']"
eventually reach h a and c,& F h & F c F a,visit,"['h', 'c', 'a']"
eventually reach h b and c,& F h & F c F b,visit,"['h', 'c', 'b']"
eventually reach h d and c,& F h & F c F d,visit,"['h', 'c', 'd']"
eventually reach h a and d,& F h & F d F a,visit,"['h', 'd', 'a']"
eventually reach h b and d,& F h & F d F b,visit,"['h', 'd', 'b']"
eventually reach h c and d,& F h & F d F c,visit,"['h', 'd', 'c']"
visit a sometime afterwards visit b sometime afterwards visit c,F & a F & b F c,sequenced_visit,"['a', 'b', 'c']"
visit a sometime afterwards visit b sometime afterwards visit d,F & a F & b F d,sequenced_visit,"['a', 'b', 'd']"
visit a sometime afterwards visit b sometime afterwards visit h,F & a F & b F h,sequenced_visit,"['a', 'b', 'h']"
visit a sometime afterwards visit c sometime afterwards visit b,F & a F & c F b,sequenced_visit,"['a', 'c', 'b']"
visit a sometime afterwards visit c sometime afterwards visit d,F & a F & c F d,sequenced_visit,"['a', 'c', 'd']"
visit a sometime afterwards visit c sometime afterwards visit h,F & a F & c F h,sequenced_visit,"['a', 'c', 'h']"
visit a sometime afterwards visit d sometime afterwards visit b,F & a F & d F b,sequenced_visit,"['a', 'd', 'b']"
visit a sometime afterwards visit d sometime afterwards visit c,F & a F & d F c,sequenced_visit,"['a', 'd', 'c']"
visit a sometime afterwards visit d sometime afterwards visit h,F & a F & d F h,sequenced_visit,"['a', 'd', 'h']"
visit a sometime afterwards visit h sometime afterwards visit b,F & a F & h F b,sequenced_visit,"['a', 'h', 'b']"
visit a sometime afterwards visit h sometime afterwards visit c,F & a F & h F c,sequenced_visit,"['a', 'h', 'c']"
visit a sometime afterwards visit h sometime afterwards visit d,F & a F & h F d,sequenced_visit,"['a', 'h', 'd']"
visit b sometime afterwards visit a sometime afterwards visit c,F & b F & a F c,sequenced_visit,"['b', 'a', 'c']"
visit b sometime afterwards visit a sometime afterwards visit d,F & b F & a F d,sequenced_visit,"['b', 'a', 'd']"
visit b sometime afterwards visit a sometime afterwards visit h,F & b F & a F h,sequenced_visit,"['b', 'a', 'h']"
visit b sometime afterwards visit c sometime afterwards visit a,F & b F & c F a,sequenced_visit,"['b', 'c', 'a']"
visit b sometime afterwards visit c sometime afterwards visit d,F & b F & c F d,sequenced_visit,"['b', 'c', 'd']"
visit b sometime afterwards visit c sometime afterwards visit h,F & b F & c F h,sequenced_visit,"['b', 'c', 'h']"
visit b sometime afterwards visit d sometime afterwards visit a,F & b F & d F a,sequenced_visit,"['b', 'd', 'a']"
visit b sometime afterwards visit d sometime afterwards visit c,F & b F & d F c,sequenced_visit,"['b', 'd', 'c']"
visit b sometime afterwards visit d sometime afterwards visit h,F & b F & d F h,sequenced_visit,"['b', 'd', 'h']"
visit b sometime afterwards visit h sometime afterwards visit a,F & b F & h F a,sequenced_visit,"['b', 'h', 'a']"
visit b sometime afterwards visit h sometime afterwards visit c,F & b F & h F c,sequenced_visit,"['b', 'h', 'c']"
visit b sometime afterwards visit h sometime afterwards visit d,F & b F & h F d,sequenced_visit,"['b', 'h', 'd']"
visit c sometime afterwards visit a sometime afterwards visit b,F & c F & a F b,sequenced_visit,"['c', 'a', 'b']"
visit c sometime afterwards visit a sometime afterwards visit d,F & c F & a F d,sequenced_visit,"['c', 'a', 'd']"
visit c sometime afterwards visit a sometime afterwards visit h,F & c F & a F h,sequenced_visit,"['c', 'a', 'h']"
visit c sometime afterwards visit b sometime afterwards visit a,F & c F & b F a,sequenced_visit,"['c', 'b', 'a']"
visit c sometime afterwards visit b sometime afterwards visit d,F & c F & b F d,sequenced_visit,"['c', 'b', 'd']"
visit c sometime afterwards visit b sometime afterwards visit h,F & c F & b F h,sequenced_visit,"['c', 'b', 'h']"
visit c sometime afterwards visit d sometime afterwards visit a,F & c F & d F a,sequenced_visit,"['c', 'd', 'a']"
visit c sometime afterwards visit d sometime afterwards visit b,F & c F & d F b,sequenced_visit,"['c', 'd', 'b']"
visit c sometime afterwards visit d sometime afterwards visit h,F & c F & d F h,sequenced_visit,"['c', 'd', 'h']"
visit c sometime afterwards visit h sometime afterwards visit a,F & c F & h F a,sequenced_visit,"['c', 'h', 'a']"
visit c sometime afterwards visit h sometime afterwards visit b,F & c F & h F b,sequenced_visit,"['c', 'h', 'b']"
visit c sometime afterwards visit h sometime afterwards visit d,F & c F & h F d,sequenced_visit,"['c', 'h', 'd']"
visit d sometime afterwards visit a sometime afterwards visit b,F & d F & a F b,sequenced_visit,"['d', 'a', 'b']"
visit d sometime afterwards visit a sometime afterwards visit c,F & d F & a F c,sequenced_visit,"['d', 'a', 'c']"
visit d sometime afterwards visit a sometime afterwards visit h,F & d F & a F h,sequenced_visit,"['d', 'a', 'h']"
visit d sometime afterwards visit b sometime afterwards visit a,F & d F & b F a,sequenced_visit,"['d', 'b', 'a']"
visit d sometime afterwards visit b sometime afterwards visit c,F & d F & b F c,sequenced_visit,"['d', 'b', 'c']"
visit d sometime afterwards visit b sometime afterwards visit h,F & d F & b F h,sequenced_visit,"['d', 'b', 'h']"
visit d sometime afterwards visit c sometime afterwards visit a,F & d F & c F a,sequenced_visit,"['d', 'c', 'a']"
visit d sometime afterwards visit c sometime afterwards visit b,F & d F & c F b,sequenced_visit,"['d', 'c', 'b']"
visit d sometime afterwards visit c sometime afterwards visit h,F & d F & c F h,sequenced_visit,"['d', 'c', 'h']"
visit d sometime afterwards visit h sometime afterwards visit a,F & d F & h F a,sequenced_visit,"['d', 'h', 'a']"
visit d sometime afterwards visit h sometime afterwards visit b,F & d F & h F b,sequenced_visit,"['d', 'h', 'b']"
visit d sometime afterwards visit h sometime afterwards visit c,F & d F & h F c,sequenced_visit,"['d', 'h', 'c']"
visit h sometime afterwards visit a sometime afterwards visit b,F & h F & a F b,sequenced_visit,"['h', 'a', 'b']"
visit h sometime afterwards visit a sometime afterwards visit c,F & h F & a F c,sequenced_visit,"['h', 'a', 'c']"
visit h sometime afterwards visit a sometime afterwards visit d,F & h F & a F d,sequenced_visit,"['h', 'a', 'd']"
visit h sometime afterwards visit b sometime afterwards visit a,F & h F & b F a,sequenced_visit,"['h', 'b', 'a']"
visit h sometime afterwards visit b sometime afterwards visit c,F & h F & b F c,sequenced_visit,"['h', 'b', 'c']"
visit h sometime afterwards visit b sometime afterwards visit d,F & h F & b F d,sequenced_visit,"['h', 'b', 'd']"
visit h sometime afterwards visit c sometime afterwards visit a,F & h F & c F a,sequenced_visit,"['h', 'c', 'a']"
visit h sometime afterwards visit c sometime afterwards visit b,F & h F & c F b,sequenced_visit,"['h', 'c', 'b']"
visit h sometime afterwards visit c sometime afterwards visit d,F & h F & c F d,sequenced_visit,"['h', 'c', 'd']"
visit h sometime afterwards visit d sometime afterwards visit a,F & h F & d F a,sequenced_visit,"['h', 'd', 'a']"
visit h sometime afterwards visit d sometime afterwards visit b,F & h F & d F b,sequenced_visit,"['h', 'd', 'b']"
visit h sometime afterwards visit d sometime afterwards visit c,F & h F & d F c,sequenced_visit,"['h', 'd', 'c']"
in some sequence visit a b and c in that order,F & a F & b F c,sequenced_visit,"['a', 'b', 'c']"
in some sequence visit a b and d in that order,F & a F & b F d,sequenced_visit,"['a', 'b', 'd']"
in some sequence visit a b and h in that order,F & a F & b F h,sequenced_visit,"['a', 'b', 'h']"
in some sequence visit a c and b in that order,F & a F & c F b,sequenced_visit,"['a', 'c', 'b']"
in some sequence visit a c and d in that order,F & a F & c F d,sequenced_visit,"['a', 'c', 'd']"
in some sequence visit a c and h in that order,F & a F & c F h,sequenced_visit,"['a', 'c', 'h']"
in some sequence visit a d and b in that order,F & a F & d F b,sequenced_visit,"['a', 'd', 'b']"
in some sequence visit a d and c in that order,F & a F & d F c,sequenced_visit,"['a', 'd', 'c']"
in some sequence visit a d and h in that order,F & a F & d F h,sequenced_visit,"['a', 'd', 'h']"
in some sequence visit a h and b in that order,F & a F & h F b,sequenced_visit,"['a', 'h', 'b']"
in some sequence visit a h and c in that order,F & a F & h F c,sequenced_visit,"['a', 'h', 'c']"
in some sequence visit a h and d in that order,F & a F & h F d,sequenced_visit,"['a', 'h', 'd']"
in some sequence visit b a and c in that order,F & b F & a F c,sequenced_visit,"['b', 'a', 'c']"
in some sequence visit b a and d in that order,F & b F & a F d,sequenced_visit,"['b', 'a', 'd']"
in some sequence visit b a and h in that order,F & b F & a F h,sequenced_visit,"['b', 'a', 'h']"
in some sequence visit b c and a in that order,F & b F & c F a,sequenced_visit,"['b', 'c', 'a']"
in some sequence visit b c and d in that order,F & b F & c F d,sequenced_visit,"['b', 'c', 'd']"
in some sequence visit b c and h in that order,F & b F & c F h,sequenced_visit,"['b', 'c', 'h']"
in some sequence visit b d and a in that order,F & b F & d F a,sequenced_visit,"['b', 'd', 'a']"
in some sequence visit b d and c in that order,F & b F & d F c,sequenced_visit,"['b', 'd', 'c']"
in some sequence visit b d and h in that order,F & b F & d F h,sequenced_visit,"['b', 'd', 'h']"
in some sequence visit b h and a in that order,F & b F & h F a,sequenced_visit,"['b', 'h', 'a']"
in some sequence visit b h and c in that order,F & b F & h F c,sequenced_visit,"['b', 'h', 'c']"
in some sequence visit b h and d in that order,F & b F & h F d,sequenced_visit,"['b', 'h', 'd']"
in some sequence visit c a and b in that order,F & c F & a F b,sequenced_visit,"['c', 'a', 'b']"
in some sequence visit c a and d in that order,F & c F & a F d,sequenced_visit,"['c', 'a', 'd']"
in some sequence visit c a and h in that order,F & c F & a F h,sequenced_visit,"['c', 'a', 'h']"
in some sequence visit c b and a in that order,F & c F & b F a,sequenced_visit,"['c', 'b', 'a']"
in some sequence visit c b and d in that order,F & c F & b F d,sequenced_visit,"['c', 'b', 'd']"
in some sequence visit c b and h in that order,F & c F & b F h,sequenced_visit,"['c', 'b', 'h']"
in some sequence visit c d and a in that order,F & c F & d F a,sequenced_visit,"['c', 'd', 'a']"
in some sequence visit c d and b in that order,F & c F & d F b,sequenced_visit,"['c', 'd', 'b']"
in some sequence visit c d and h in that order,F & c F & d F h,sequenced_visit,"['c', 'd', 'h']"
in some sequence visit c h and a in that order,F & c F & h F a,sequenced_visit,"['c', 'h', 'a']"
in some sequence visit c h and b in that order,F & c F & h F b,sequenced_visit,"['c', 'h', 'b']"
in some sequence visit c h and d in that order,F & c F & h F d,sequenced_visit,"['c', 'h', 'd']"
in some sequence visit d a and b in that order,F & d F & a F b,sequenced_visit,"['d', 'a', 'b']"
in some sequence visit d a and c in that order,F & d F & a F c,sequenced_visit,"['d', 'a', 'c']"
in some sequence visit d a and h in that order,F & d F & a F h,sequenced_visit,"['d', 'a', 'h']"
