instruction,ltl
go to a then move to b,F & a F b
after you have been to a make your way to b,F & a F b
go to b after going to a,F & a F b
move a then find b,F & a F b
please visit a at 900 then b at 1000 and then c at 1100,F & a F & b F c
go to c after b go to b after going to a,F & a F & b F c
go to a then go to b finally go to c,F & a F & b F c
go to a  then visit b then reach c,F & a F & b F c
go to a and then go to b and then go to c,F & a F & b F c
visit a b and c in that order,F & a F & b F c
reach a then reach b and then reach c,F & a F & b F c
go to a and go to b after a is visited and go to c after a and b are visited,F & a F & b F c
go to a then b then c,F & a F & b F c
start at a then visit b then go to c,F & a F & b F c
go to a then go to b then go to c,F & a F & b F c
visit a b and c one after another,F & a F & b F c
head to a b and c in order,F & a F & b F c
visit a b c and d in this order,F & a F & b F & c F d
reach a then reach b then reach c and then reach d,F & a F & b F & c F d
go to a then go to b then go to c and then go to d,F & a F & b F & c F d
visit a then visit b then visit c then visit d,F & a F & b F & c F d
you have to walk to a and then walk to b and then walk to c and finally walk to d,F & a F & b F & c F d
visit b at least once after visiting a visit c at least once after visiting a and b visit d at least once after visiting ab and c,F & a F & b F & c F d
go to a and then go to b and then go to c and then go to d,F & a F & b F & c F d
ensure that you visit abc and d in order,F & a F & b F & c F d
visit a b c and d one after the other,F & a F & b F & c F d
you have to walk to a and then walk to b and then walk to c and then walk to d and finally walk to h,F & a F & b F & c F & d F h
visit a then visit b then visit c then visit d and then visit h,F & a F & b F & c F & d F h
visit a b c d and h sequentially,F & a F & b F & c F & d F h
head to a and then to b after a is visited and then to c after b is visited and then to d after c is visited and then to h after d is visited,F & a F & b F & c F & d F h
visit b at least once after visiting a visit c at least once after visiting both a and b visit d at least once after visiting a b and c and visit h at least once after visiting a b c and d,F & a F & b F & c F & d F h
visit a b c d and h in this order,F & a F & b F & c F & d F h
reach a b c d and h sequentially,F & a F & b F & c F & d F h
go to a and then go to b and then go to c and then go to d and then go to h,F & a F & b F & c F & d F h
head to a first and then to b but do not visit b if you havent been to a,& U ! b a F b
go to a and only then go to b,& U ! b a F b
visit a and visit b only if a is visited,& U ! b a F b
go to b after going to a do not go to b before,& U ! b a F b
go to b but do not go to b until you go to a first,& U ! b a F b
go to b but only visit b if you already visited a,& U ! b a F b
visit b but do not visit b before you reach a,& U ! b a F b
find a while avoiding b then after finding a go to b,& U ! b a F b
go to a and then go to b but do not visit b before a is visited,& U ! b a F b
go to a but keep avoiding b and once you have been to a go to b,& U ! b a F b
visit b only after visiting a,& U ! b a F b
find b but not until you find a first,& U ! b a F b
go to a while staying away from b then move to b,& U ! b a F b
go to a only then go to b and only then go to c,& U ! b a & U ! c b F c
keep away from b and c while heading to a and then keep away from c while heading to b and eventually go to c,& U ! b a & U ! c b F c
go to a but not through b or c and then go to b but not through c and finally go to c,& U ! b a & U ! c b F c
in strictly this order visit a then eventually visit b and finally eventually c,& U ! b a & U ! c b F c
visit a only then should you visit b and only after that should you reach c,& U ! b a & U ! c b F c
direct yourself to a but keep away from b and c then go to b but bypass c and eventually make you way at c,& U ! b a & U ! c b F c
visit c but only after visiting b and visit b only after visiting a,& U ! b a & U ! c b F c
make you way to a but keep avoiding b or c and head to b but keep avoiding c after that and  then visit c,& U ! b a & U ! c b F c
visit a b and c in order but keep avoiding latter ones when you are heading to former ones,& U ! b a & U ! c b F c
do not go to d until c is visited and do not go to c until b is visited and do not go to b until a is visited,& U ! b a & U ! c b & U ! d c F d
go to a only after that go to b only then go to c and only then go to d,& U ! b a & U ! c b & U ! d c F d
visit a b c and d in that specific order make sure not to visit waypoints out of turn,& U ! b a & U ! c b & U ! d c F d
make your way to d only after going to c before that make your way to c only after going to b before that make your way to b only after going to a,& U ! b a & U ! c b & U ! d c F d
first go directly to a without visiting any other waypoints then go directly to b then directly to c and finally directly to d,& U ! b a & U ! c b & U ! d c F d
go to a and only go to b only after a is visited and then go to c only after a and b are both visited and then go to d only after a b and c are all visited,& U ! b a & U ! c b & U ! d c F d
visit d but do not visit d until you have reached c in turn only go to c after you visit b and only go to b after reaching a,& U ! b a & U ! c b & U ! d c F d
go to a but not through b c or d and then go to b but not through c or d and then go to c but not through d and finally go to d,& U ! b a & U ! c b & U ! d c F d
do not go to h until d is visited and do not go to d until c is visited and do not go to c until b is visited and do not go to b until a is visited,& U ! b a & U ! c b & U ! d c & U ! h d F h
ensure that you visit h but only after d in turn only visit d after c only visit c after b and only visit b after a,& U ! b a & U ! c b & U ! d c & U ! h d F h
go to a b c d and h in that specific order,& U ! b a & U ! c b & U ! d c & U ! h d F h
make your way to h only after going to d before that make your way to d only after going to c before that make your way to c only after going to b before that make your way to b only after going to a,& U ! b a & U ! c b & U ! d c & U ! h d F h
go to h but only after visiting a b c d in that specific order,& U ! b a & U ! c b & U ! d c & U ! h d F h
go to a and only go to b only after a is visited and then go to c only after a and b are both visited and then go to d only after a b and c are all visited and then go to h only after a b c and d are all visited,& U ! b a & U ! c b & U ! d c & U ! h d F h
visit a b c d and h in that specific order ensure to not visit locations out of turn,& U ! b a & U ! c b & U ! d c & U ! h d F h
go to a but not through b c d or h and then go to b but not through c d or h and then go to c but not through d or h and then go to d but not through h and finally go to h,& U ! b a & U ! c b & U ! d c & U ! h d F h
visit a and b in that exact sequence out of sequence visits and repeated visits are not permitted,& & U ! b a F b U ! a U a U !a b
visit b but only after a also you cannot revisit a before completing the remaining tasks,& & U ! b a F b U ! a U a U !a b
stay away from b until you make a single visit to a and then go to b,& & U ! b a F b U ! a U a U !a b
avoid b initially when a is not visited and then just visit a once and then visit b,& & U ! b a F b U ! a U a U !a b
reach a exactly once while staying away from b then move to b,& & U ! b a F b U ! a U a U !a b
reach a and then b in that exact order without repetitions,& & U ! b a F b U ! a U a U !a b
navigate to a exactly once while staying away from b then you can go to b,& & U ! b a F b U ! a U a U !a b
visit a one time but not through b and head to b after a is visited,& & U ! b a F b U ! a U a U !a b
do not visit b before you visit a and then go to b without revisiting a,& & U ! b a F b U ! a U a U !a b
go to a only then go to b but ensure to not revisit a,& & U ! b a F b U ! a U a U !a b
move to a exactly once while avoiding b then find b,& & U ! b a F b U ! a U a U !a b
go to a only once but keep away from b and then visit b,& & U ! b a F b U ! a U a U !a b
go to a but do not visit b or c and then go to b but do not visit c or revisit a and then go to c but do not revisit a or b,& & U ! b a & U ! c b F c & U ! a U a U !a b U ! b U b U !b c
go to a but not through b or c and then go to b but not through c and finally go to c no revisiting is allowed,& & U ! b a & U ! c b F c & U ! a U a U !a b U ! b U b U !b c
make your way to c only after going to b before that make your way to b only after going to a do not go back to the previous location you have visited while heading to the next,& & U ! b a & U ! c b F c & U ! a U a U !a b U ! b U b U !b c
do not go to c until b is visited and do not go to b until a is visited along the path never return to previous location you have been to,& & U ! b a & U ! c b F c & U ! a U a U !a b U ! b U b U !b c
visit a b and c in this order without skipping any one of them do not revisit any one of them once after you have been there,& & U ! b a & U ! c b F c & U ! a U a U !a b U ! b U b U !b c
go to a but do not visit b c or d and then go to b but do not visit c or d or revisit a and then go to c but do not visit d or revisit a or b and then go to d but do not revisit a b or c,& & U ! b a & U ! c b & U ! d c F d & U ! a U a U !a b & U ! b U b U !b c U ! c U c U !c d
go to a but not through b c or d and then go to b but not through c or d and then go to c but not through d and finally go to d no revisiting is allowed,& & U ! b a & U ! c b & U ! d c F d & U ! a U a U !a b & U ! b U b U !b c U ! c U c U !c d
make your way to d only after going to c before that make your way to c only after going to b before that make your way to b only after going to a do not go back to the previous location you have visited while heading to the next,& & U ! b a & U ! c b & U ! d c F d & U ! a U a U !a b & U ! b U b U !b c U ! c U c U !c d
do not go to d until c is visited and do not go to c until b is visited and do not go to b until a is visited along the path never return to previous location you have been to,& & U ! b a & U ! c b & U ! d c F d & U ! a U a U !a b & U ! b U b U !b c U ! c U c U !c d
visit a b c and d in this order without skipping any one of them do not revisit any one of them once after you have been there,& & U ! b a & U ! c b & U ! d c F d & U ! a U a U !a b & U ! b U b U !b c U ! c U c U !c d
do not visit h until you visit d visit d only once do not visit d until you visit c visit c only once do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h
visit a b c d and h in this order without skipping any one of them do not revisit any one of them once after you have been there,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h
eventually visit a afterward eventually visit b afterward eventually visit c afterward eventually visit d afterward eventually visit h visit each landmark only once,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h
do not go to h until d is visited and do not go to d until c is visited and do not go to c until b is visited and do not go to b until a is visited along the path never return to previous location you have been to,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h
go to a but not through b c d or h and then go to b but not through c d or h and then go to c but not through d or h and then go to d but not through h and finally go to h no revisiting is allowed here,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h
go to a but do not visit b c d or h and then go to b but do not visit c d or h or revisit a and then go to c but do not visit d or h or revisit a or b and then go to d but do not visit h or revisit a b or c and then go to h but do not revisit a b c or d,& & U ! b a & U ! c b & U ! d c & U ! h d F h & U ! a U a U !a b & U ! b U b U !b c & U ! c U c U !c d U ! d U d U !d h
make sure you visit a infinite times,G F a
visit a as many times as you can,G F a
keep going to a,G F a
make sure a is visited infinitely,G F a
continue moving to a,G F a
make sure you frequent a infinitely,G F a
please keep visiting a without stopping,G F a
do not stop going to a,G F a
keep visiting a,G F a
do not stop visiting a,G F a
never stop visiting a,G F a
do not stop visiting a,G F a
you must visit a infinitely often,G F a
never stop visiting a and b,& G F a G F b
keep visiting a and b in any order,& G F a G F b
visit a and b as many times as you can,& G F a G F b
do not stop visiting a and b,& G F a G F b
please keep visiting a and b without stopping,& G F a G F b
pick one from a and b and go there and then go back and forth between a and b with or without stay,& G F a G F b
frequent a and b but the order can be arbitrary,& G F a G F b
frequent a and b infinitely in any order,& G F a G F b
keep visiting a b and c in any order,& G F a & G F b G F c
please keep visiting a b and c without stopping,& G F a & G F b G F c
never stop visiting a b and c,& G F a & G F b G F c
make sure a b and c are visited infinitely,& G F a & G F b G F c
keep visiting a b c and d in any order,& G F a & G F b & G F c G F d
please keep visiting a b c and d without stopping,& G F a & G F b & G F c G F d
never stop visiting a b c and d,& G F a & G F b & G F c G F d
make sure a b c and d are visited infinitely,& G F a & G F b & G F c G F d
keep visiting a b c d h in any order,& G F a & G F b & G F c & G F d G F h
please keep visiting a b c d and h without stopping,& G F a & G F b & G F c & G F d G F h
never stop visiting a b c d and h,& G F a & G F b & G F c & G F d G F h
make sure a b c d and h are visited infinitely,& G F a & G F b & G F c & G F d G F h
