instruction,label
visit each of a b c and d exactly once in this order,strictly_ordered_visit
please go to a then b then c then d in that specific order without revisiting previously visited location,strictly_ordered_visit
go to a only once but keep away from b c and d and then go to b only once but keep away from a c and d and then go to c only once but keep way from a b and d and finally go to d once but keep away from a b and c,strictly_ordered_visit
visit a then b then c and then d in that strict order without returning to previously visited locations,strictly_ordered_visit
visit a while staying away from b then visit b while staying away from c then visit c while staying away from d then visit d while staying away from h finally reach h without returning to any previously visited locations,strictly_ordered_visit
go to h but only after going to d only once go to d only after going to c only once go to c only after going to b only once and go to b only after going to a only once,strictly_ordered_visit
first visit a while avoiding b then visit b while avoiding c then visit c while avoiding d then visit d while avoiding h finally visit h visit each location once,strictly_ordered_visit
eventually visit a afterward eventually visit b afterward eventually visit c afterward eventually visit d afterward eventually visit h visit each landmark only once,strictly_ordered_visit
visit a only once then eventually visit b only once then visit c in the future for one time followed by one visit to d and after that h,strictly_ordered_visit
go to a without visiting b then go to b without visiting c third go to c without visiting d fourth go to d without visiting h finally go to h visit a b c and d only one time,strictly_ordered_visit
before visiting b c d and h visit a and never visit it again then visit b before c d and h and never visit it again do not visit d and h until you visit c never visit c again then visit d before h and never visit h again finally visit h,strictly_ordered_visit
don not stop visiting a b and c,strictly_ordered_visit
do not visit h until you visit d visit d only once do not visit d until you visit c visit c only once do not visit c until you visit b visit b only once do no visit b until you visit a visit a only once,strictly_ordered_visit
go to a only then go to b only then go to c only then go to d and only then go to h make sure to  not revisit any of the locations before completing the task,strictly_ordered_visit
go to a but do not visit b c d or h and then go to b but do not visit c d or h or revisit a and then go to c but do not visit d or h or revisit a or b and then go to d but do not visit h or revisit a b or c and then go to h but do not revisit a b c or d,strictly_ordered_visit
visit a b c d and h in that exact order once you leave any location you cannot return to it,strictly_ordered_visit
visit a b c d and h in this order without skipping any one of them do not revisit any one of them once after you have been there ,strictly_ordered_visit
visit a then b then c then d and then h visit each landmark only once,strictly_ordered_visit
go to a while avoiding b and then go to b,ordered_visit
visit a then visit b but do not visit b until you visit a,ordered_visit
find a while avoiding b then after finding a go to b,ordered_visit
go to a while avoiding b then go to b,ordered_visit
go to a and then go to b but do not visit b before a is visited,ordered_visit
visit a and visit b only if a is visited,ordered_visit
find b but not until you find a first,ordered_visit
go to b but do not go to b until you go to a first,ordered_visit
go to a then b you cannot visit b before a,ordered_visit
go from a to b do not go to b before visiting a,ordered_visit
go to a but keep avoiding b and once you have been to a go to b,ordered_visit
head to a first and then to b but do not visit b if you have not been to a,ordered_visit
visit a and b but do not visit b without visiting a,ordered_visit
go to a and only then go to b,ordered_visit
visit a then eventually visit b do not visit b before visiting a,ordered_visit
go to b but only visit b if you already visited a,ordered_visit
make sure you frequent a infinitely,patrolling
keep visiting a,patrolling
continue to visit a,patrolling
make sure a is visited infinitely,patrolling
visit a an infinite number of times,patrolling
patrol a repeatedly,patrolling
always stop at a repeatedly,patrolling
please visit a infinitely often,patrolling
keep visiting a,patrolling
keep on visiting a forever,patrolling
go to a an infinite number of times,patrolling
please keep visiting a,patrolling
keep going to a,patrolling
visit a infinitely often,patrolling
keep visiting a forever,patrolling
continue moving to a,patrolling
visit a again and again,patrolling
frequent a infinitely,patrolling
go to a and only go to b only after a is visited and then go to c only after a and b are both visited and then go to d only after a b and c are all visited,ordered_visit
do not visit successor without visiting the predecessor in the following strict order a b c and d,ordered_visit
go to d but do not go to d until c is visited and do not go to c until b is visited and do not go to b until a is visited,ordered_visit
visit a b c d in that specific order,ordered_visit
visit a then b then c then d while ensuring not to visit b before a not to visit c before b not to visit d before c,ordered_visit
go to a then b then c finally d you cannot visit b before a you cannot visit c before b you cannot visit d before c,ordered_visit
visit a b c and d in this order without skipping any one of them,ordered_visit
reach a without going to b then go to b without passing c then go to c without passing d finally go to d,ordered_visit
make your way to d only after going to c before that make your way to c only after going to b before that make your way to b only after going to a,ordered_visit
go to a but not through b c or d and then go to b but not through c or d and then go to c but not through d and finally go to d,ordered_visit
visit a b c and d in that specific order make sure not to visit waypoints out of turn,ordered_visit
go to a only after that go to b only then go to c and only then go to d,ordered_visit
visit a while avoiding b visit b while avoiding c visit c while avoiding d visit d while avoiding h finally reach h,ordered_visit
visit a b c d and h in this strict order once the predecessor is visited you must visit the successor,ordered_visit
visit a do not visit b c d or h until you visit a then visit b do not visit c d or h until you visit b then visit c do not visit d or h until you visit c then visit d do not visit h until you visit d finally reach h  ,ordered_visit
make your way to h only after going to d before that make your way to d only after going to c before that make your way to c only after going to b before that make your way to b only after going to a,ordered_visit
visit a b c d and h in that specific order ensure to not visit locations out of turn,ordered_visit
visit a b c d and h in this strict order once the predecessor is visited you must visit the successor,ordered_visit
ensure that you visit h but only after d in turn only visit d after c only visit c after b and only visit b after a,ordered_visit
go to a but not through b c d or h and then go to b but not through c d or h and then go to c but not through d or h and then go to d but not through h and finally go to h,ordered_visit
go to h not before going to d do not go to d before going to c do not go to c before going to b and do not go to b before going to a,ordered_visit
visit a before b b before c c before d and h before d,ordered_visit
go to a b c d and h in that specific order,ordered_visit
visit a only after a is visited go to b only after b is visited go to c only after c is visited go to d only after d is visited go to h,ordered_visit
travel to b c and a infinitely,patrolling
visit a b and c infinitely often,patrolling
visit a b and c indefinitely,patrolling
please keep visiting a b and c without stopping,patrolling
repeatedly keep visiting a b and c,patrolling
explore b a and c forever,patrolling
continuously move to c b and a,patrolling
at any point in time ensure that you will visit a b and c at least once in the future,patrolling
never stop visiting a b and c,patrolling
continue visiting  a b and c an infinite number of times,patrolling
make sure you are always visiting a b and c,patrolling
go to a c and b an infinite number of times,patrolling
do not ever stop visiting a b and c,patrolling
frequent a b and c infinitely in any order,patrolling
keep visiting a b c and d an infinite number of times,patrolling
continue to stop at a b c and d,patrolling
do not stop going to a b c and d in any order,patrolling
keep going to a b c and d an infinite number of times,patrolling
please keep visiting a b c and d without stopping,patrolling
you are prohibited from not infinitely going to d c a and b,patrolling
do not go to c a d and b a finite number of times,patrolling
keep visiting a b c and d in any order infinitely ,patrolling
frequent a b c and d infinitely in any order,patrolling
keep visiting a b c and d,patrolling
keep going to a b c and d ,patrolling
go to a b c and d over and over again,patrolling
keep visiting a b c and d in no specific order,patrolling
visit locations a b c and d an infinite number of times,patrolling
never stop visiting a b c and d,patrolling
keep visiting a b c d and h an infinite number of times,patrolling
cycle through d h b c and a,patrolling
do not stop going to a b c d and h in no specific order,patrolling
keep going to a b c d and h an infinite number of times,patrolling
please keep visiting a b c d and h without stopping,patrolling
you are not allowed to cease exploring a b c d and h,patrolling
visit a b h d and c with no limits,patrolling
keep visiting a b c d and h in any order infinitely ,patrolling
frequent a b c d and h infinitely in any order,patrolling
visit b c a d and h an infinite number of times,patrolling
go to a d c h and b an infinite number of times,patrolling
go to a b c d and h infinitely often,patrolling
keep visiting a b c d and h in no specific order,patrolling
keep going to h d c b and a,patrolling
never stop visiting a b c d and h,patrolling
keep visiting a and b an infinite number of times,patrolling
travel to a and b an infinite number of times,patrolling
keep going back and forth between a and b,patrolling
keep going to a and b an infinite number of times,patrolling
repeatedly visit a and b forever,patrolling
please keep visiting a and b without stopping,patrolling
frequent a and b infinitely in any order,patrolling
do not stop visiting a and b,patrolling
go to a and b infinitely often,patrolling
keep visiting a and b,patrolling
keep visiting b and a,patrolling
keep on visiting a and b,patrolling
keep visiting a and b in any order,patrolling
keep going between a and b,patrolling
keep visiting a and b forever,patrolling
